学科,模块,任务,主要要求,不可绕过要求,借力步骤,现有依据,规则,审核状态
"日语","阅读模块","连词及内容填空","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","阅读模块","指示代词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","阅读模块","原因、理由","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"日语","阅读模块","信息理解","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","语篇理解是主任务，推演与信息提取用于完成判断。","language-reading","待教研复核"
"日语","阅读模块","主旨观点","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"日语","应用文主要格式","书信","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","应用文主要格式","通知","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","应用文主要格式","演讲稿","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","应用文主要格式","邮件","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","应用文主要格式","日记","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","应用文拓展文体","书信拓展文体","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","应用文拓展文体","通知拓展文体","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","应用文拓展文体","演讲稿拓展文体","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","大作文模块","记叙议论文","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","大作文模块","议论观点文","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"日语","大作文模块","图表说明文","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"物理","运动的描述与匀变速直线运动","运动学基本概念","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","运动的描述与匀变速直线运动","匀变速直线运动规律","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","相互作用与牛顿定律应用","力与受力分析","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","相互作用与牛顿定律应用","共点力平衡","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"物理","相互作用与牛顿定律应用","牛顿运动定律","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","曲线运动、万有引力与宇宙航行","抛体运动","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","曲线运动、万有引力与宇宙航行","圆周运动","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","曲线运动、万有引力与宇宙航行","万有引力与航天","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","能量与动量守恒","功和能","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；记忆：先回想并写下相关概念，再对照材料补全","核心是判断过程中的关系与守恒条件，数量和规律提取提供支持。","physics-energy","待教研复核"
"物理","能量与动量守恒","动量与碰撞","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；记忆：先回想并写下相关概念，再对照材料补全","核心是判断过程中的关系与守恒条件，数量和规律提取提供支持。","physics-energy","待教研复核"
"物理","机械振动与机械波","机械振动与机械波","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","静电场","电场力的性质与能的性质","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","静电场","电容器与带电粒子在电场中","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","恒定电流、交变电流与变压器","电路分析","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","恒定电流、交变电流与变压器","电学实验","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；记忆：先回想并写下相关概念，再对照材料补全","实验核心是条件控制和证据推理，不按学生优势临时添加入口。","physics-experiment","待教研复核"
"物理","恒定电流、交变电流与变压器","交变电流与变压器","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；记忆：先回想并写下相关概念，再对照材料补全","核心动作是条件判断和关系推演。","physics-reasoning","待教研复核"
"物理","磁场与电磁感应","磁场与安培力","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","磁场与电磁感应","带电粒子在磁场中的运动","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","磁场与电磁感应","电磁感应","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；记忆：先回想并写下相关概念，再对照材料补全","核心动作是条件判断和关系推演。","physics-reasoning","待教研复核"
"物理","磁场与电磁感应","电磁感应中的导轨模型","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；记忆：先回想并写下相关概念，再对照材料补全","核心动作是条件判断和关系推演。","physics-reasoning","待教研复核"
"物理","热学与光学","分子动理论与气体","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","主要依赖概念关系与推演，不把不可见的微观概念直接等同为空间元能力。","physics-modern-concepts","待教研复核"
"物理","热学与光学","光学","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接要求处理对象位置、方向或结构，推演和数理提供支持。","physics-space","待教研复核"
"物理","近代物理","波粒二象性与光电效应","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","主要依赖概念关系与推演，不把不可见的微观概念直接等同为空间元能力。","physics-modern-concepts","待教研复核"
"物理","近代物理","原子与原子核","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","主要依赖概念关系与推演，不把不可见的微观概念直接等同为空间元能力。","physics-modern-concepts","待教研复核"
"物理","运动与力学实验","力学实验","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；记忆：先回想并写下相关概念，再对照材料补全","实验核心是条件控制和证据推理，不按学生优势临时添加入口。","physics-experiment","待教研复核"
"化学","化学基本概念与化学实验基础知识","化学物质及其变化","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"化学","化学基本概念与化学实验基础知识","化学计量与简单计算","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"化学","化学基本概念与化学实验基础知识","化学实验基础知识","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"化学","元素及其化合物","金属及其化合物","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"化学","元素及其化合物","非金属及其化合物","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"化学","物质的结构与性质","原子结构与性质","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"化学","物质的结构与性质","分子结构与性质","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"化学","物质的结构与性质","晶体结构与性质","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"化学","化学反应原理","化学反应与能量转化","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"化学","化学反应原理","化学反应速率与平衡","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"化学","化学反应原理","水溶液中的离子反应与平衡","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"化学","有机化学","有机化合物的结构","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"化学","有机化学","烃的衍生物","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"化学","有机化学","有机化合物综合应用","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块一 细胞基础内容","第一讲 细胞中的元素和化合物","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块一 细胞基础内容","第二讲 细胞学基础","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块一 细胞基础内容","第三讲 细胞的结构","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块一 细胞基础内容","第四讲 物质进出细胞的方式","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块二 细胞代谢","第五讲 ATP和酶","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块二 细胞代谢","第六讲 细胞呼吸","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块二 细胞代谢","第七讲 光合作用","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块二 细胞代谢","第八讲 代谢综合","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块三 细胞的生命历程","第九讲 有丝分裂和减数分裂","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块三 细胞的生命历程","第十讲 细胞分化、衰老、凋亡和癌变","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块四 遗传学","第十一讲 分离定律","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块四 遗传学","第十二讲 自由组合定律","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块四 遗传学","第十三讲 伴性遗传","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块四 遗传学","第十四讲 证明DNA是主要遗传物质","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块四 遗传学","第十五讲 DNA的分子结构及复制","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块四 遗传学","第十六讲 基因的表达","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块五 变异与育种","第十七讲 变异与育种","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块五 变异与育种","第十八讲 进化和基因频率的计算","数理","数理","推演：先连接已知条件，写出每一步能推出什么","任务对象是数据与数量关系。","science-calculation","待教研复核"
"生物","模块六 稳态与调节","第十九讲 内环境及其稳态","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块六 稳态与调节","第二十讲 神经调节","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块六 稳态与调节","第二十一讲 体液调节","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块六 稳态与调节","第二十二讲 神经调节和体液调节实例","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块六 稳态与调节","第二十三讲 免疫调节","推演","推演、记忆","记忆：先回想并写下相关概念，再对照材料补全；数理：先列出已知数量和单位，再写出它们的关系","任务核心是过程关系和因果推演。","science-process","待教研复核"
"生物","模块六 稳态与调节","第二十四讲 植物激素","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块七 生物与环境","第二十五讲 种群","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块七 生物与环境","第二十六讲 群落","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块七 生物与环境","第二十七讲 生态系统","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块七 生物与环境","第二十八讲 人类与环境","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"生物","模块八 生物技术与工程","第二十九讲 发酵工程","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块八 生物技术与工程","第三十讲 植物细胞工程","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块八 生物技术与工程","第三十一讲 动物细胞工程","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"生物","模块八 生物技术与工程","第三十二讲 基因工程","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理组成结构与连接关系。","science-structure","待教研复核"
"历史","中国古代史","中华文明的起源与早期国家（远古—前771）","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"历史","中国古代史","诸侯纷争与变法运动（前770—前221）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","中国古代史","秦统一多民族封建国家的建立（前221—前207）","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"历史","中国古代史","两汉——统一多民族封建国家的巩固（前202—220）","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"历史","中国古代史","三国两晋南北朝——中华文明的曲折发展（220—589）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","中国古代史","隋唐时期——中华文明的繁荣（581—907）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","中国古代史","辽宋夏金元时期——中华文明的成熟与高度发展（916—1368）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","中国古代史","明清（前期）时期——中华文明的鼎盛与危机（1368—1840）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","中国近代史","旧民主主义革命时期（1840—1919）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","中国近代史","新民主主义革命时期（1919—1949）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","中国现代史","新中国的成立与社会主义建设时期（1949—1978）","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"历史","中国现代史","社会主义建设新时期——改革开放（1978—）","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"历史","世界古代史","上古时期（5世纪以前）——古代文明的产生与发展","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","世界古代史","中古时期（5—15世纪）——世界各区域多元文明的发展","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","世界近现代史","走向整体的世界","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","世界近现代史","欧洲思想解放运动及资本主义制度的确立","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","世界近现代史","工业革命与马克思主义的诞生","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","世界近现代史","近代世界的政治、经济和文化（15世纪—19世纪末20世纪初）","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"历史","世界近现代史","两次世界大战、十月革命与国际秩序的演变","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","世界近现代史","20世纪下半叶世界的新变化（1945—）","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"历史","世界近现代史","二战以来的经济与文化","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"历史","史学素养","史学素养","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"政治","中国特色社会主义","人类社会发展进程与趋势","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","中国特色社会主义","中国特色社会主义的开创和发展","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","经济与社会","生产资料所有制与经济体制","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","经济与社会","经济发展和社会进步","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","政治与法治","党的领导","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"政治","政治与法治","人民当家作主","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"政治","政治与法治","全面依法治国","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"政治","哲学与文化","探索世界与把握规律","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"政治","哲学与文化","认识世界与价值选择","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"政治","哲学与文化","文化传承与文化创新","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","当代国际政治与经济","各具特色的国家","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","当代国际政治与经济","政治多极化","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","当代国际政治与经济","经济全球化","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","当代国际政治与经济","国际组织","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","直接任务是理解与表达，记忆和推演提供支持。","humanities-knowledge","待教研复核"
"政治","法律与生活","民事权利与民事义务","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"政治","法律与生活","家庭与婚姻","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"政治","法律与生活","就业与创业","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"政治","法律与生活","社会争议解决","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"政治","逻辑与思维","树立科学思维观念","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"政治","逻辑与思维","遵循逻辑思维规则","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"政治","逻辑与思维","运用辩证思维方法","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"政治","逻辑与思维","提高创新思维元能力","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；记忆：先回想并写下相关概念，再对照材料补全","材料任务需要以证据支持判断。","humanities-source","待教研复核"
"地理","模块一 内外力作用与地貌","岩石圈物质循环","空间","空间","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"地理","模块一 内外力作用与地貌","内力作用与地貌","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块一 内外力作用与地貌","外力作用与地貌","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块二 大气与气候","大气","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块二 大气与气候","热力环流","空间","空间","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"地理","模块二 大气与气候","气压带风带","空间","空间","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"地理","模块二 大气与气候","季风环流","空间","空间","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"地理","模块二 大气与气候","全球气候类型","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
"地理","模块二 大气与气候","天气系统","空间","空间","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"地理","模块三 水循环","水循环","空间","空间","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"地理","模块三 水循环","陆地水体","空间","空间","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","地图、位置和区域联系是直接任务对象。","geography-space","待教研复核"
